"account.length","area.code","international.plan","voice.mail.plan","number.vmail.messages","total.day.minutes","total.day.calls","total.eve.minutes","total.eve.calls","total.night.minutes","total.night.calls","total.intl.minutes","total.intl.calls","number.customer.service.calls","Status","avg.minute.day","avg.minute.eve","avg.minute.night","avg.minute.intl"
126,415,"yes","yes",34,244.9,118,219.6,105,210.8,136,9.7,6,4,"False",2.07542372881356,2.09142857142857,1.55,1.61666666666667
44,415,"no","yes",20,184.8,105,195,169,130.1,121,11.6,3,1,"False",1.76,1.15384615384615,1.07520661157025,3.86666666666667
80,510,"yes","yes",30,184.2,132,167.5,109,212.8,114,10,10,0,"False",1.39545454545455,1.53669724770642,1.86666666666667,1
70,408,"no","no",0,176.5,85,119.2,93,227.7,90,8.7,5,1,"False",2.07647058823529,1.28172043010753,2.53,1.74
142,408,"no","yes",20,214.3,126,250.1,102,189.7,116,10.6,4,4,"False",1.70079365079365,2.45196078431373,1.63534482758621,2.65
126,408,"no","yes",27,186.2,78,189.6,83,76.5,139,9.6,3,2,"False",2.38717948717949,2.28433734939759,0.550359712230216,3.2
109,510,"no","no",0,154.8,82,287.7,109,208.4,80,5.9,9,3,"False",1.88780487804878,2.6394495412844,2.605,0.655555555555556
48,510,"no","no",0,198.2,108,181,70,238.9,86,12.1,2,1,"False",1.83518518518519,2.58571428571429,2.77790697674419,6.05
55,408,"no","yes",39,139.3,101,178.3,117,246.5,104,8.1,1,3,"False",1.37920792079208,1.52393162393162,2.37019230769231,8.1
68,415,"no","no",0,178.7,61,252.3,84,255.7,76,8.4,4,1,"False",2.92950819672131,3.00357142857143,3.36447368421053,2.1
16,510,"no","no",0,228.6,130,208.4,103,195.3,118,11.9,7,0,"False",1.75846153846154,2.02330097087379,1.65508474576271,1.7
100,408,"no","no",0,210.9,85,329.3,69,127.1,78,9.4,5,4,"False",2.48117647058824,4.77246376811594,1.62948717948718,1.88
72,415,"no","no",0,190.7,111,241.6,103,278.1,95,4.4,3,1,"False",1.71801801801802,2.34563106796117,2.92736842105263,1.46666666666667
95,415,"no","no",0,149.2,96,260.7,116,201,120,8.1,2,1,"False",1.55416666666667,2.24741379310345,1.675,4.05
30,415,"no","yes",30,217.4,74,213.8,86,227.2,104,6.6,3,0,"False",2.93783783783784,2.48604651162791,2.18461538461538,2.2
57,415,"no","no",0,214,100,209.9,80,105.1,112,11.3,1,0,"False",2.14,2.62375,0.938392857142857,11.3
109,510,"no","no",0,170.7,101,240.2,82,119,112,11.4,4,2,"False",1.69009900990099,2.92926829268293,1.0625,2.85
99,510,"no","no",0,217.2,112,246.7,89,226.1,89,15.8,7,3,"False",1.93928571428571,2.77191011235955,2.54044943820225,2.25714285714286
87,415,"no","no",0,204.8,101,161,80,285.7,89,9.5,3,0,"False",2.02772277227723,2.0125,3.21011235955056,3.16666666666667
200,408,"no","no",0,195.4,71,249.4,96,233.1,132,12.9,2,3,"False",2.75211267605634,2.59791666666667,1.76590909090909,6.45
133,415,"no","no",0,113.3,137,160.2,103,228.8,98,10.1,7,2,"False",0.827007299270073,1.55533980582524,2.33469387755102,1.44285714285714
135,510,"no","yes",18,180.1,90,152.5,65,258.2,85,12.7,9,1,"False",2.00111111111111,2.34615384615385,3.03764705882353,1.41111111111111
148,415,"yes","no",0,218.7,111,155.6,133,277.4,62,8.2,5,1,"False",1.97027027027027,1.16992481203008,4.4741935483871,1.64
114,510,"yes","yes",28,136.4,93,170,90,191.5,73,14.6,4,2,"True",1.46666666666667,1.88888888888889,2.62328767123288,3.65
88,408,"no","no",0,142.2,107,262.4,84,139.2,99,10.1,5,1,"False",1.32897196261682,3.12380952380952,1.40606060606061,2.02
71,415,"no","yes",49,174,122,168.6,85,132.1,120,7.8,4,1,"False",1.42622950819672,1.98352941176471,1.10083333333333,1.95
125,415,"no","no",0,206,128,198.1,71,135.9,116,13.2,3,0,"False",1.609375,2.79014084507042,1.17155172413793,4.4
57,415,"no","no",0,161,113,208,134,208.1,81,8.4,4,3,"False",1.42477876106195,1.55223880597015,2.56913580246914,2.1
86,415,"no","yes",34,129.4,102,267.1,104,154.8,100,9.3,16,0,"False",1.26862745098039,2.56826923076923,1.548,0.58125
90,415,"no","no",0,207.2,121,292.5,104,226.3,103,8,1,2,"False",1.71239669421488,2.8125,2.19708737864078,8
65,408,"no","yes",19,259,96,332.3,106,130.1,95,7.5,7,1,"False",2.69791666666667,3.13490566037736,1.36947368421053,1.07142857142857
123,408,"no","no",0,225.6,102,225.8,56,186.7,128,6.7,2,1,"False",2.21176470588235,4.03214285714286,1.45859375,3.35
52,408,"no","yes",31,122.2,88,139,100,141.9,141,5.7,10,3,"False",1.38863636363636,1.39,1.0063829787234,0.57
112,408,"no","no",0,168.4,53,187.5,68,204.5,125,9.8,3,1,"False",3.17735849056604,2.75735294117647,1.636,3.26666666666667
121,510,"no","no",0,190.7,103,183.5,117,220.8,103,9.8,4,3,"False",1.85145631067961,1.56837606837607,2.14368932038835,2.45
114,415,"no","no",0,187.8,109,154.6,97,213.9,102,10.1,3,2,"False",1.72293577981651,1.59381443298969,2.09705882352941,3.36666666666667
116,408,"no","no",0,133.8,88,177.1,103,185.2,106,12.4,4,2,"False",1.52045454545455,1.71941747572816,1.74716981132075,3.1
177,415,"no","no",0,232.8,106,175.2,97,212.2,77,12.5,7,2,"False",2.19622641509434,1.80618556701031,2.75584415584416,1.78571428571429
106,415,"no","no",0,147.9,97,209.3,99,162.1,80,8.8,5,2,"False",1.52474226804124,2.11414141414141,2.02625,1.76
37,415,"yes","no",0,106.6,76,147.4,89,235.8,113,9.6,8,2,"False",1.40263157894737,1.6561797752809,2.08672566371681,1.2
