"","    state","account.length","  area.code","  phone.number","international.plan","voice.mail.plan","number.vmail.messages","total.day.minutes","total.day.calls","total.day.charge","total.eve.minutes","total.eve.calls","total.eve.charge","total.night.minutes","total.night.calls","total.night.charge","total.intl.minutes","total.intl.calls","total.intl.charge","number.customer.service.calls","  Status"
"","WV     : 158  ","Min.   :  1.0  ","Min.   :408.0  ","327-1058:   1  ","no :4527  ","no :3677  ","Min.   : 0.000  ","Min.   :  0.0  ","Min.   :  0  ","Min.   : 0.00  ","Min.   :  0.0  ","Min.   :  0.0  ","Min.   : 0.00  ","Min.   :  0.0  ","Min.   :  0.00  ","Min.   : 0.000  ","Min.   : 0.00  ","Min.   : 0.000  ","Min.   :0.000  ","Min.   :0.00  ","False:4293  "
"","MN     : 125  ","1st Qu.: 73.0  ","1st Qu.:408.0  ","327-1319:   1  ","yes: 473  ","yes:1323  ","1st Qu.: 0.000  ","1st Qu.:143.7  ","1st Qu.: 87  ","1st Qu.:24.43  ","1st Qu.:166.4  ","1st Qu.: 87.0  ","1st Qu.:14.14  ","1st Qu.:166.9  ","1st Qu.: 87.00  ","1st Qu.: 7.510  ","1st Qu.: 8.50  ","1st Qu.: 3.000  ","1st Qu.:2.300  ","1st Qu.:1.00  ","True : 707  "
"","AL     : 124  ","Median :100.0  ","Median :415.0  ","327-2040:   1  ",NA,NA,"Median : 0.000  ","Median :180.1  ","Median :100  ","Median :30.62  ","Median :201.0  ","Median :100.0  ","Median :17.09  ","Median :200.4  ","Median :100.00  ","Median : 9.020  ","Median :10.30  ","Median : 4.000  ","Median :2.780  ","Median :1.00  ",NA
"","ID     : 119  ","Mean   :100.3  ","Mean   :436.9  ","327-2475:   1  ",NA,NA,"Mean   : 7.755  ","Mean   :180.3  ","Mean   :100  ","Mean   :30.65  ","Mean   :200.6  ","Mean   :100.2  ","Mean   :17.05  ","Mean   :200.4  ","Mean   : 99.92  ","Mean   : 9.018  ","Mean   :10.26  ","Mean   : 4.435  ","Mean   :2.771  ","Mean   :1.57  ",NA
"","VA     : 118  ","3rd Qu.:127.0  ","3rd Qu.:415.0  ","327-3053:   1  ",NA,NA,"3rd Qu.:17.000  ","3rd Qu.:216.2  ","3rd Qu.:113  ","3rd Qu.:36.75  ","3rd Qu.:234.1  ","3rd Qu.:114.0  ","3rd Qu.:19.90  ","3rd Qu.:234.7  ","3rd Qu.:113.00  ","3rd Qu.:10.560  ","3rd Qu.:12.00  ","3rd Qu.: 6.000  ","3rd Qu.:3.240  ","3rd Qu.:2.00  ",NA
"","OH     : 116  ","Max.   :243.0  ","Max.   :510.0  ","327-3587:   1  ",NA,NA,"Max.   :52.000  ","Max.   :351.5  ","Max.   :165  ","Max.   :59.76  ","Max.   :363.7  ","Max.   :170.0  ","Max.   :30.91  ","Max.   :395.0  ","Max.   :175.00  ","Max.   :17.770  ","Max.   :20.00  ","Max.   :20.000  ","Max.   :5.400  ","Max.   :9.00  ",NA
"","(Other):4240  ",NA,NA,"(Other) :4994  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","NJ     : 28  ","Min.   :  1.0  ","Min.   :408.0  ","327-3587:  1  ","no :508  ","no :605  ","Min.   : 0.000  ","Min.   :  0.0  ","Min.   :  0.0  ","Min.   : 0.00  ","Min.   : 70.9  ","Min.   : 48.00  ","Min.   : 6.03  ","Min.   : 47.4  ","Min.   : 42.00  ","Min.   : 2.130  ","Min.   : 0.00  ","Min.   : 0.000  ","Min.   :0.000  ","Min.   :0.000  ","False:  0  "
"","TX     : 26  ","1st Qu.: 76.0  ","1st Qu.:411.5  ","327-4579:  1  ","yes:199  ","yes:102  ","1st Qu.: 0.000  ","1st Qu.:153.5  ","1st Qu.: 88.0  ","1st Qu.:26.09  ","1st Qu.:175.8  ","1st Qu.: 86.50  ","1st Qu.:14.95  ","1st Qu.:171.8  ","1st Qu.: 85.00  ","1st Qu.: 7.730  ","1st Qu.: 8.80  ","1st Qu.: 2.000  ","1st Qu.:2.380  ","1st Qu.:1.000  ","True :707  "
"","WA     : 24  ","Median :102.0  ","Median :415.0  ","327-8495:  1  ",NA,NA,"Median : 0.000  ","Median :215.9  ","Median :101.0  ","Median :36.70  ","Median :211.1  ","Median : 99.00  ","Median :17.94  ","Median :206.3  ","Median :100.00  ","Median : 9.280  ","Median :10.60  ","Median : 4.000  ","Median :2.860  ","Median :2.000  ",NA
"","WV     : 22  ","Mean   :102.3  ","Mean   :438.0  ","328-5188:  1  ",NA,NA,"Mean   : 4.496  ","Mean   :207.9  ","Mean   :100.8  ","Mean   :35.34  ","Mean   :211.8  ","Mean   : 99.88  ","Mean   :18.00  ","Mean   :206.1  ","Mean   : 99.58  ","Mean   : 9.274  ","Mean   :10.69  ","Mean   : 4.151  ","Mean   :2.887  ","Mean   :2.255  ",NA
"","MD     : 21  ","3rd Qu.:126.5  ","3rd Qu.:510.0  ","328-6011:  1  ",NA,NA,"3rd Qu.: 0.000  ","3rd Qu.:266.4  ","3rd Qu.:115.0  ","3rd Qu.:45.30  ","3rd Qu.:249.3  ","3rd Qu.:113.50  ","3rd Qu.:21.19  ","3rd Qu.:240.8  ","3rd Qu.:114.00  ","3rd Qu.:10.840  ","3rd Qu.:12.80  ","3rd Qu.: 5.000  ","3rd Qu.:3.460  ","3rd Qu.:4.000  ",NA
"","MT     : 21  ","Max.   :225.0  ","Max.   :510.0  ","328-6797:  1  ",NA,NA,"Max.   :48.000  ","Max.   :351.5  ","Max.   :165.0  ","Max.   :59.76  ","Max.   :363.7  ","Max.   :168.00  ","Max.   :30.91  ","Max.   :381.6  ","Max.   :158.00  ","Max.   :17.170  ","Max.   :20.00  ","Max.   :20.000  ","Max.   :5.400  ","Max.   :9.000  ",NA
"","(Other):565  ",NA,NA,"(Other) :701  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","WV     : 136  ","Min.   :  1.00  ","Min.   :408.0  ","327-1058:   1  ","no :4019  ","no :3072  ","Min.   : 0.000  ","Min.   :  0.0  ","Min.   :  0.0  ","Min.   : 0.00  ","Min.   :  0.0  ","Min.   :  0.0  ","Min.   : 0.00  ","Min.   :  0.0  ","Min.   :  0.00  ","Min.   : 0.000  ","Min.   : 0.00  ","Min.   : 0.000  ","Min.   :0.000  ","Min.   :0.000  ","False:4293  "
"","VA     : 112  ","1st Qu.: 73.00  ","1st Qu.:408.0  ","327-1319:   1  ","yes: 274  ","yes:1221  ","1st Qu.: 0.000  ","1st Qu.:142.9  ","1st Qu.: 87.0  ","1st Qu.:24.29  ","1st Qu.:164.5  ","1st Qu.: 87.0  ","1st Qu.:13.98  ","1st Qu.:165.9  ","1st Qu.: 87.00  ","1st Qu.: 7.470  ","1st Qu.: 8.50  ","1st Qu.: 3.000  ","1st Qu.:2.300  ","1st Qu.:1.000  ","True :   0  "
"","AL     : 111  ","Median : 99.00  ","Median :415.0  ","327-2040:   1  ",NA,NA,"Median : 0.000  ","Median :178.0  ","Median :100.0  ","Median :30.26  ","Median :199.5  ","Median :101.0  ","Median :16.96  ","Median :199.0  ","Median :100.00  ","Median : 8.960  ","Median :10.30  ","Median : 4.000  ","Median :2.780  ","Median :1.000  ",NA
"","ID     : 105  ","Mean   : 99.92  ","Mean   :436.7  ","327-2475:   1  ",NA,NA,"Mean   : 8.292  ","Mean   :175.7  ","Mean   : 99.9  ","Mean   :29.88  ","Mean   :198.8  ","Mean   :100.2  ","Mean   :16.90  ","Mean   :199.5  ","Mean   : 99.98  ","Mean   : 8.976  ","Mean   :10.19  ","Mean   : 4.482  ","Mean   :2.752  ","Mean   :1.458  ",NA
"","MN     : 105  ","3rd Qu.:127.00  ","3rd Qu.:415.0  ","327-3053:   1  ",NA,NA,"3rd Qu.:20.000  ","3rd Qu.:210.7  ","3rd Qu.:113.0  ","3rd Qu.:35.82  ","3rd Qu.:232.3  ","3rd Qu.:114.0  ","3rd Qu.:19.75  ","3rd Qu.:233.4  ","3rd Qu.:113.00  ","3rd Qu.:10.500  ","3rd Qu.:12.00  ","3rd Qu.: 6.000  ","3rd Qu.:3.240  ","3rd Qu.:2.000  ",NA
"","WY     : 104  ","Max.   :243.00  ","Max.   :510.0  ","327-3850:   1  ",NA,NA,"Max.   :52.000  ","Max.   :315.6  ","Max.   :163.0  ","Max.   :53.65  ","Max.   :361.8  ","Max.   :170.0  ","Max.   :30.75  ","Max.   :395.0  ","Max.   :175.00  ","Max.   :17.770  ","Max.   :19.70  ","Max.   :19.000  ","Max.   :5.320  ","Max.   :8.000  ",NA
"","(Other):3620  ",NA,NA,"(Other) :4287  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
